frp,confidence,historical_count,historical_frp_mean,historical_frp_max,persistence_days,industrial_distance,residential_distance,road_distance,frp_zscore,persistence_ratio,has_baseline,bright_ti4,bright_ti5,brightness_difference,scan,track,is_night,hour,day_of_week,near_industrial,near_agriculture,near_forest,near_residential,near_commercial,osm_queried,label
6.15,0,1.0,6.58,6.58,1.0,,,,,1.0,True,343.39,304.11,39.27999999999997,0.39,0.36,0,8,5,0,0,0,0,0,0,
6.15,0,1.0,6.58,6.58,1.0,,,,,1.0,True,336.68,301.43,35.25,0.39,0.36,0,8,5,0,0,0,0,0,0,
5.04,0,0.0,0.0,0.0,0.0,,,,,0.0,False,343.16,304.06,39.10000000000002,0.42,0.37,0,8,5,0,0,0,0,0,0,
2.79,0,0.0,0.0,0.0,0.0,,,,,0.0,False,335.27,303.12,32.14999999999998,0.42,0.37,0,8,5,0,0,0,0,0,0,
2.79,0,0.0,0.0,0.0,0.0,,,,,0.0,False,335.75,301.67,34.079999999999984,0.42,0.37,0,8,5,0,0,0,0,0,0,
7.9,0,0.0,0.0,0.0,0.0,,,,,0.0,False,344.87,306.14,38.73000000000002,0.41,0.37,0,8,5,0,0,0,0,0,0,
4.24,0,0.0,0.0,0.0,0.0,,,,,0.0,False,335.73,304.09,31.640000000000043,0.4,0.37,0,8,5,0,0,0,0,0,0,
7.9,0,0.0,0.0,0.0,0.0,,,,,0.0,False,348.57,304.24,44.329999999999984,0.41,0.37,0,8,5,0,0,0,0,0,0,
3.89,0,0.0,0.0,0.0,0.0,,,,,0.0,False,338.73,303.45,35.28000000000003,0.42,0.37,0,8,5,0,0,0,0,0,0,
8.79,0,0.0,0.0,0.0,0.0,,,,,0.0,False,348.35,302.2,46.150000000000034,0.4,0.37,0,8,5,0,0,0,0,0,0,
5.49,0,0.0,0.0,0.0,0.0,,,,,0.0,False,340.8,303.25,37.55000000000001,0.39,0.36,0,8,5,0,0,0,0,0,0,
7.27,0,0.0,0.0,0.0,0.0,,,,,0.0,False,344.98,302.11,42.870000000000005,0.39,0.36,0,8,5,0,0,0,0,0,0,
3.89,0,0.0,0.0,0.0,0.0,,,,,0.0,False,338.37,303.99,34.379999999999995,0.39,0.36,0,8,5,0,0,0,0,0,0,
2.0,0,0.0,0.0,0.0,0.0,,,,,0.0,False,332.93,297.02,35.910000000000025,0.4,0.37,0,8,5,0,0,0,0,0,0,
4.55,0,0.0,0.0,0.0,0.0,,,,,0.0,False,343.64,300.6,43.039999999999964,0.39,0.36,0,8,5,0,0,0,0,0,0,
3.25,0,0.0,0.0,0.0,0.0,,,,,0.0,False,337.45,301.1,36.349999999999966,0.42,0.37,0,8,5,0,0,0,0,0,0,
5.79,0,0.0,0.0,0.0,0.0,,,,,0.0,False,336.74,299.72,37.01999999999998,0.42,0.37,0,8,5,0,0,0,0,0,0,
5.64,0,0.0,0.0,0.0,0.0,,,,,0.0,False,339.77,298.07,41.69999999999999,0.42,0.37,0,8,5,0,0,0,0,0,0,
14.3,0,0.0,0.0,0.0,0.0,,,,,0.0,False,344.56,301.53,43.03000000000003,0.39,0.36,0,8,5,0,0,0,0,0,0,
2.29,1,0.0,0.0,0.0,0.0,,,,,0.0,False,332.41,303.58,28.83000000000004,0.41,0.37,0,8,5,0,0,0,0,0,0,
4.77,0,0.0,0.0,0.0,0.0,,,,,0.0,False,338.84,301.11,37.72999999999996,0.39,0.36,0,8,5,0,0,0,0,0,0,
7.76,0,5.0,1.898,2.69,1.0,,,,13.15660029689106,1.0,True,340.0,304.96,35.04000000000002,0.4,0.37,0,8,5,0,0,0,0,0,1,
