source_row_id,latitude,longitude,lat_grid,lon_grid,acq_date,acq_time,acq_datetime,confidence_raw,satellite,instrument,daynight,osm_query_status,in_mainland_india,frp,confidence,historical_count,historical_frp_mean,historical_frp_max,persistence_days,industrial_distance,residential_distance,road_distance,frp_zscore,persistence_ratio,has_baseline,bright_ti4,bright_ti5,brightness_difference,scan,track,is_night,hour,day_of_week,near_industrial,near_agriculture,near_forest,near_residential,near_commercial,osm_queried
136,7.9979,80.38068,8.0,80.38,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,6.15,0,1.0,6.58,6.58,1.0,,,,,1.0,True,343.39,304.11,39.27999999999997,0.39,0.36,0,8,5,0,0,0,0,0,0
137,7.99843,80.38423,8.0,80.38,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,6.15,0,1.0,6.58,6.58,1.0,,,,,1.0,True,336.68,301.43,35.25,0.39,0.36,0,8,5,0,0,0,0,0,0
138,8.01719,81.42326,8.02,81.42,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,5.04,0,0.0,0.0,0.0,0.0,,,,,0.0,False,343.16,304.06,39.10000000000002,0.42,0.37,0,8,5,0,0,0,0,0,0
139,8.02176,81.43032,8.02,81.43,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,2.79,0,0.0,0.0,0.0,0.0,,,,,0.0,False,335.27,303.12,32.14999999999998,0.42,0.37,0,8,5,0,0,0,0,0,0
140,8.02232,81.4341,8.02,81.43,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,2.79,0,0.0,0.0,0.0,0.0,,,,,0.0,False,335.75,301.67,34.079999999999984,0.42,0.37,0,8,5,0,0,0,0,0,0
141,8.02516,81.16928,8.03,81.17,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,7.9,0,0.0,0.0,0.0,0.0,,,,,0.0,False,344.87,306.14,38.73000000000002,0.41,0.37,0,8,5,0,0,0,0,0,0
142,8.02535,80.63208,8.03,80.63,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,4.24,0,0.0,0.0,0.0,0.0,,,,,0.0,False,335.73,304.09,31.640000000000043,0.4,0.37,0,8,5,0,0,0,0,0,0
143,8.02858,81.16877,8.03,81.17,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,7.9,0,0.0,0.0,0.0,0.0,,,,,0.0,False,348.57,304.24,44.329999999999984,0.41,0.37,0,8,5,0,0,0,0,0,0
144,8.02988,81.41364,8.03,81.41,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,3.89,0,0.0,0.0,0.0,0.0,,,,,0.0,False,338.73,303.45,35.28000000000003,0.42,0.37,0,8,5,0,0,0,0,0,0
145,8.0395,80.61161,8.04,80.61,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,8.79,0,0.0,0.0,0.0,0.0,,,,,0.0,False,348.35,302.2,46.150000000000034,0.4,0.37,0,8,5,0,0,0,0,0,0
146,8.05222,80.25206,8.05,80.25,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,5.49,0,0.0,0.0,0.0,0.0,,,,,0.0,False,340.8,303.25,37.55000000000001,0.39,0.36,0,8,5,0,0,0,0,0,0
